Name,Team,Stat,Line,Bet,Win
Kevin Durant,PHX,Pts+Rebs+Asts,34.5,OVER,62.4%
Franz Wagner,ORL,Points,14.5,OVER,62.3%
Daniel Gafford,WAS,Rebs+Asts,11.5,OVER,62.1%
Bradley Beal,PHX,Assists,3.5,OVER,62.1%
Grayson Allen,PHX,Rebounds,5.5,UNDER,62.0%
Markelle Fultz,ORL,Assists,2.5,OVER,61.6%
Bradley Beal,PHX,Points,24.5,UNDER,61.5%
Kristaps Porzingis,BOS,Rebs+Asts,9.5,UNDER,61.4%
Bojan Bogdanovic,DET,3-PT Made,3.5,UNDER,61.2%
Tyus Jones,WAS,Assists,7.5,OVER,61.2%
Jordan Poole,WAS,Assists,2.5,OVER,61.0%
Markelle Fultz,ORL,Rebounds,4.5,UNDER,61.0%
Jusuf Nurkic,PHX,Steals,0.5,OVER,60.9%
Jayson Tatum,BOS,Rebs+Asts,13.0,UNDER,60.8%
Jaden Ivey,DET,Rebs+Asts,7.5,OVER,60.8%
Jordan Poole,WAS,Pts+Rebs+Asts,21.5,OVER,60.7%
Bradley Beal,PHX,Rebounds,3.5,OVER,60.7%
Cade Cunningham,DET,3-PT Made,0.5,OVER,60.7%
Wendell Carter Jr.,ORL,Assists,0.5,OVER,60.6%
Devin Booker,PHX,Rebounds,3.5,OVER,60.6%
Jayson Tatum,BOS,Rebounds,8.5,UNDER,60.4%
Bradley Beal,PHX,Points,14.5,OVER,60.4%
Grayson Allen,PHX,Assists,1.5,OVER,60.4%
Wendell Carter Jr.,ORL,Rebs+Asts,10.5,UNDER,60.2%
Kevin Durant,PHX,Steals,0.5,OVER,60.2%
Bradley Beal,PHX,Steals,1.5,UNDER,60.2%
Jaden Ivey,DET,Points,19.5,UNDER,60.2%
Markelle Fultz,ORL,Points,14.5,UNDER,60.1%
Bradley Beal,PHX,Assists,6.5,UNDER,59.8%
Daniel Gafford,WAS,Steals,1.5,OVER,59.7%
Paolo Banchero,ORL,3-PT Made,2.5,UNDER,59.6%
Franz Wagner,ORL,Points,24.5,UNDER,59.6%
Kevin Durant,PHX,Rebs+Asts,12.5,OVER,59.5%
Devin Booker,PHX,Rebs+Asts,10.5,OVER,59.5%
Jalen Suggs,ORL,Assists,3.5,UNDER,59.3%
Bradley Beal,PHX,Pts+Rebs+Asts,24.5,OVER,59.3%
Devin Booker,PHX,Points,34.5,UNDER,59.2%
Bradley Beal,PHX,Pts+Rebs+Asts,34.5,UNDER,59.2%
Paolo Banchero,ORL,Assists,6.5,UNDER,59.2%
Bradley Beal,PHX,Rebounds,6.5,UNDER,59.0%
Paolo Banchero,ORL,Steals,0.5,OVER,59.0%
Paolo Banchero,ORL,Steals,1.5,UNDER,59.0%
Kevin Durant,PHX,Assists,7.5,UNDER,58.9%
Deni Avdija,WAS,Assists,3.5,OVER,58.9%
Paolo Banchero,ORL,Rebounds,5.5,OVER,58.9%
Jusuf Nurkic,PHX,Pts+Rebs+Asts,29.5,UNDER,58.9%
